#   Wavelength        (Rp/Rs)**2
#           um          unitless
     2.4945743   1.490262960e-02
     2.4945121   1.451721171e-02
     2.4944498   1.506944962e-02
     2.4943876   1.448189683e-02
     2.4943254   1.455838299e-02
     2.4942632   1.458309002e-02
     2.4942010   1.484641432e-02
     2.4941388   1.464077666e-02
     2.4940766   1.502708715e-02
     2.4940144   1.494321217e-02
     2.4939522   1.449854464e-02
     2.4938900   1.453147377e-02
     2.4938278   1.465809963e-02
     2.4937656   1.524984248e-02
     2.4937034   1.464125038e-02
     2.4936412   1.547803097e-02
     2.4935790   1.464628971e-02
     2.4935169   1.461734223e-02
     2.4934547   1.511356621e-02
     2.4933925   1.455862705e-02
     2.4933303   1.501900665e-02
     2.4932682   1.463587843e-02
     2.4932060   1.471527685e-02
     2.4931439   1.460168516e-02
     2.4930817   1.463236876e-02
     2.4930195   1.450006763e-02
     2.4929574   1.449645777e-02
     2.4928952   1.444215434e-02
     2.4928331   1.483952786e-02
     2.4927710   1.462651885e-02
     2.4927088   1.513040507e-02
     2.4926467   1.452740803e-02
     2.4925846   1.450223525e-02
     2.4925224   1.496463538e-02
     2.4924603   1.530444666e-02
     2.4923982   1.473261249e-02
     2.4923361   1.465675944e-02
     2.4922740   1.452013584e-02
     2.4922118   1.474444971e-02
     2.4921497   1.448148316e-02
     2.4920876   1.456830711e-02
     2.4920255   1.453298154e-02
     2.4919634   1.540822203e-02
     2.4919013   1.521110983e-02
     2.4918392   1.491147316e-02
     2.4917771   1.458392539e-02
     2.4917150   1.457277373e-02
     2.4916530   1.456371667e-02
     2.4915909   1.459012379e-02
     2.4915288   1.518522575e-02
     2.4914667   1.463515417e-02
     2.4914047   1.453077673e-02
     2.4913426   1.499648626e-02
     2.4912805   1.455676987e-02
     2.4912185   1.494635015e-02
     2.4911564   1.458149953e-02
     2.4910943   1.448476466e-02
     2.4910323   1.463169589e-02
     2.4909702   1.455392532e-02
     2.4909082   1.467582254e-02
     2.4908461   1.502916295e-02
     2.4907841   1.500439214e-02
     2.4907221   1.467976172e-02
     2.4906600   1.477202855e-02
     2.4905980   1.470073386e-02
     2.4905360   1.456055971e-02
     2.4904739   1.470933686e-02
     2.4904119   1.458872645e-02
     2.4903499   1.452583472e-02
     2.4902879   1.506134343e-02
     2.4902259   1.469280370e-02
     2.4901639   1.500738235e-02
     2.4901018   1.527528451e-02
     2.4900398   1.453440475e-02
     2.4899778   1.467823141e-02
     2.4899158   1.493270131e-02
     2.4898538   1.465799834e-02
     2.4897919   1.459802871e-02
     2.4897299   1.538474490e-02
     2.4896679   1.467683022e-02
     2.4896059   1.462014649e-02
     2.4895439   1.457806891e-02
     2.4894819   1.451572071e-02
     2.4894200   1.453446048e-02
     2.4893580   1.443837184e-02
     2.4892960   1.468846269e-02
     2.4892341   1.455113263e-02
     2.4891721   1.492309875e-02
     2.4891101   1.521980924e-02
     2.4890482   1.452138256e-02
     2.4889862   1.447827622e-02
     2.4889243   1.481117807e-02
     2.4888623   1.442686354e-02
     2.4888004   1.455815205e-02
