#  Wavelength        (Rp/Rs)**2
#          um          unitless
     2.280693   1.458694285e-02
     2.280173   1.472259438e-02
     2.279653   1.459092513e-02
     2.279133   1.462332186e-02
     2.278614   1.456349921e-02
     2.278095   1.457365562e-02
     2.277576   1.457964888e-02
     2.277057   1.456781068e-02
     2.276539   1.457289981e-02
     2.276021   1.456206061e-02
     2.275503   1.459851425e-02
     2.274985   1.461247063e-02
     2.274468   1.457556201e-02
     2.273951   1.465202672e-02
     2.273434   1.480233562e-02
     2.272917   1.484160614e-02
     2.272401   1.458313889e-02
     2.271884   1.458699421e-02
     2.271368   1.456019489e-02
     2.270852   1.461464976e-02
     2.270337   1.455488177e-02
     2.269822   1.455875147e-02
     2.269306   1.460751905e-02
     2.268792   1.456100122e-02
     2.268277   1.459210415e-02
     2.267763   1.457378105e-02
     2.267248   1.457331112e-02
     2.266735   1.457952908e-02
     2.266221   1.473955175e-02
     2.265707   1.462796102e-02
     2.265194   1.456151317e-02
     2.264681   1.457552150e-02
     2.264168   1.460222217e-02
     2.263656   1.456343289e-02
     2.263144   1.455566644e-02
     2.262631   1.455414754e-02
     2.262120   1.461877757e-02
     2.261608   1.458242228e-02
     2.261097   1.457037903e-02
     2.260586   1.455870366e-02
     2.260075   1.459119483e-02
     2.259564   1.458547167e-02
     2.259054   1.461669749e-02
     2.258543   1.456887948e-02
     2.258033   1.460028533e-02
     2.257524   1.471900361e-02
     2.257014   1.456941447e-02
     2.256505   1.462866039e-02
     2.255996   1.455867125e-02
     2.255487   1.455513650e-02
     2.254978   1.460822115e-02
     2.254470   1.456393495e-02
     2.253962   1.471877350e-02
     2.253454   1.457355461e-02
     2.252946   1.460497083e-02
     2.252439   1.463532624e-02
     2.251931   1.457978057e-02
     2.251424   1.468716381e-02
     2.250918   1.469547628e-02
     2.250411   1.457611087e-02
     2.249905   1.458880805e-02
     2.249399   1.457051191e-02
     2.248893   1.467913910e-02
     2.248387   1.469347873e-02
     2.247882   1.469853456e-02
     2.247377   1.455785570e-02
     2.246872   1.459674727e-02
     2.246367   1.460038227e-02
     2.245862   1.457198513e-02
     2.245358   1.461927536e-02
     2.244854   1.460092394e-02
     2.244350   1.463607428e-02
     2.243847   1.460941227e-02
     2.243343   1.457316578e-02
     2.242840   1.460901918e-02
     2.242337   1.456722937e-02
     2.241834   1.458446105e-02
     2.241332   1.457078734e-02
     2.240830   1.458774526e-02
     2.240328   1.461808571e-02
     2.239826   1.456697288e-02
     2.239324   1.466664074e-02
     2.238823   1.476316134e-02
     2.238322   1.457545700e-02
     2.237821   1.457260925e-02
     2.237320   1.458396024e-02
     2.236820   1.460012191e-02
     2.236320   1.458668479e-02
     2.235820   1.457785556e-02
     2.235320   1.462728573e-02
     2.234820   1.465256044e-02
     2.234321   1.463495705e-02
     2.233822   1.467653216e-02
     2.233323   1.459006162e-02
     2.232824   1.458249654e-02
     2.232326   1.460159211e-02
     2.231828   1.465026502e-02
     2.231330   1.475814752e-02
     2.230832   1.465230585e-02
     2.230334   1.457920936e-02
     2.229837   1.463139022e-02
     2.229340   1.460029057e-02
     2.228843   1.460920455e-02
     2.228346   1.457583044e-02
     2.227850   1.478891065e-02
     2.227354   1.459146349e-02
     2.226858   1.463478229e-02
     2.226362   1.459569604e-02
     2.225866   1.456304252e-02
     2.225371   1.459549932e-02
     2.224876   1.457734509e-02
     2.224381   1.456981181e-02
     2.223886   1.457862706e-02
     2.223392   1.459162853e-02
     2.222898   1.470688518e-02
     2.222404   1.456680092e-02
     2.221910   1.456327699e-02
     2.221416   1.456075298e-02
     2.220923   1.475394053e-02
     2.220430   1.456207455e-02
     2.219937   1.476624213e-02
     2.219444   1.458607362e-02
     2.218952   1.458701116e-02
     2.218459   1.456567661e-02
     2.217967   1.457220844e-02
     2.217476   1.460615267e-02
     2.216984   1.457790349e-02
     2.216493   1.463566399e-02
     2.216001   1.455656375e-02
     2.215510   1.460764015e-02
     2.215020   1.463221530e-02
     2.214529   1.462722128e-02
     2.214039   1.456466993e-02
     2.213549   1.459000232e-02
     2.213059   1.464313014e-02
